airline,tweets,airline_sentiment,sentiment_encoded
Virgin America,dhepburn said,neutral,0
Virgin America,youve added commercials to the experience tacky,positive,1
Virgin America,did not today must mean i need to take another trip,neutral,0
Virgin America,is really aggressive to blast obnoxious entertainment in your guests faces they have little recourse,negative,-1
Virgin America,it is a really big bad thing about it,negative,-1
Virgin America,would pay 30 a flight for seats that did not have this playingit is really the only bad thing about flying va,negative,-1
Virgin America,nearly every time i fly vx this ear worm wont go away,positive,1
Virgin America,missed a prime opportunity for men without hats parody there,neutral,0
Virgin America,i did notbut now i do d,positive,1
Virgin America,was amazing and arrived an hour early youre too good to me,positive,1
Virgin America,you know that suicide is the second leading cause of death among teens 1024,neutral,0
Virgin America,3 pretty graphics so much better than minimal iconography d,positive,1
Virgin America,is such a great deal already thinking about my 2nd trip to australia i have not even gone on my 1st trip yet p,positive,1
Virgin America,i am flying your fabulous seductive skies again you take all the stress away from travel,positive,1
Virgin America,,positive,1
Virgin America,schedule is still mia,negative,-1
Virgin America,excited for my first cross country flight lax to mco i have heard nothing but great things about virgin america 29daystogo,positive,1
Virgin America,flew from new york city to sfo last week and could not fully sit in my seat due to two large gentleman on either side of me help,negative,-1
Virgin America,virginamerica,positive,1
Virgin America,know what would be amazingly awesome bosfll please i want to fly with only you,positive,1
Virgin America,are your first fares in may over three times more than other carriers when all seats are available to select,negative,-1
Virgin America,love this graphic,positive,1
Virgin America,love the hipster innovation you are a feel good brand,positive,1
Virgin America,you be making boslas non stop permanently anytime soon,neutral,0
Virgin America,guys messed up my seating i reserved seating with my friends and you guys gave my seat away i want free internet,negative,-1
Virgin America,match program i applied and it is been three weeks called and emailed with no response,negative,-1
Virgin America,happened 2 your vegan food options at least say on your site so i know i would not be able 2 eat anything for next 6 hrs fail,negative,-1
Virgin America,you miss me do not worry well be together very soon,neutral,0
Virgin America,to me that we cannot get any cold air from the vents vx358 noair worstflightever roasted sfotobos,negative,-1
Virgin America,to ewr middle seat on a red eye such a noob maneuver sendambien andchexmix,neutral,0
Virgin America,i just bked a cool birthday trip with you but i cannot add my elevate no cause i entered my middle name during flight booking problems,negative,-1
Virgin America,the hours of operation for the club at sfo that are posted online current,neutral,0
Virgin America,left expensive headphones on flight 89 iad to lax today seat 2a no one answering lf number at lax,negative,-1
Virgin America,my return phone call just would prefer to use your online selfservice option,negative,-1
Virgin America,is great news america could start flights to hawaii by end of year via pacificbiznews,positive,1
Virgin America,virginamerica vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience,neutral,0
Virgin America,is the only way to fly best experience ever cool and calming moodlitmonday,positive,1
Virgin America,done and done best airline around hands down,positive,1
Virgin America,can i book my flight to hawaii,neutral,0
Virgin America,chat support is not working on your site,negative,-1
Virgin America,of downtown los angeles the hollywood sign and beyond that rain in the mountains,positive,1
Virgin America,first time flyer next week excited but i am having a hard time getting my flights added to my elevate account help,negative,-1
Virgin America,help me win my bid upgrade for my flight 227 laxsea,neutral,0
Virgin America,have an unused ticket but moved to a new city where you do not fly how can i fly with you before it expires travelhelp,neutral,0
Virgin America,flights leaving dallas for seattle on time feb 24,neutral,0
Virgin America,am elevategold for a good reason you rock,positive,1
Virgin America,,neutral,0
Virgin America,this just blew my mind,positive,1
